id,split,image_path,question,choices,num_choices,answer,subject,grade,topic,category,skill,context_group,difficulty_score
train_04332,train,images/train/train_04332.png,What is the expected ratio of offspring that have myotonia congenita to offspring that do not have myotonia congenita? Choose the most likely ratio.,"[""3:1"", ""4:0"", ""2:2"", ""0:4"", ""1:3""]",5,2,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4813639816593538
train_03960,train,images/train/train_03960.png,How many years passed between the signing of the Treaty of Versailles and the beginning of World War II in Europe?,"[""35 years"", ""20 years"", ""15 years"", ""23 years""]",4,1,social science,grade5,world-history,20th century American history,"World War II: lead-up to war in Europe, Asia",hint_only,0.48020336368469524
train_10254,train,images/train/train_10254.png,Mesopotamia was the site of one of the earliest civilizations. Which letter marks Mesopotamia?,"[""A"", ""B"", ""D"", ""C""]",4,1,social science,grade7,world-history,Ancient Mesopotamia,Early Mesopotamia,hint_only,0.4788898595528474
train_08766,train,images/train/train_08766.png,What is the expected ratio of offspring that do not have Bekko patterning to offspring that have Bekko patterning? Choose the most likely ratio.,"[""4:0"", ""3:1"", ""0:4"", ""2:2"", ""1:3""]",5,0,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4754116007080358
train_09624,train,images/train/train_09624.png,How many years passed between the United States entering World War II and Germany surrendering?,"[""six years"", ""four years"", ""eight years"", ""two years""]",4,1,social science,grade5,world-history,20th century American history,World War II: global events,hint_only,0.4742184165093824
train_07398,train,images/train/train_07398.png,Which letter marks the territory controlled by the ancient Maya civilization?,"[""B"", ""C"", ""A"", ""D""]",4,1,social science,grade7,world-history,Early Americas,Foundations of Maya civilization,hint_only,0.4724960254215807
train_03445,train,images/train/train_03445.png,What is the expected ratio of offspring that have Marfan syndrome to offspring that do not have Marfan syndrome? Choose the most likely ratio.,"[""3:1"", ""2:2"", ""4:0"", ""0:4"", ""1:3""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4724354102323768
train_12421,train,images/train/train_12421.png,What is the expected ratio of offspring that do not have Marfan syndrome to offspring that have Marfan syndrome? Choose the most likely ratio.,"[""4:0"", ""0:4"", ""3:1"", ""1:3"", ""2:2""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4724354102323768
train_05975,train,images/train/train_05975.png,What is the expected ratio of offspring that have Thomsen disease to offspring that do not have Thomsen disease? Choose the most likely ratio.,"[""2:2"", ""1:3"", ""3:1"", ""4:0"", ""0:4""]",5,0,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4724354102323768
train_12442,train,images/train/train_12442.png,What is the expected ratio of offspring that have Thomsen disease to offspring that do not have Thomsen disease? Choose the most likely ratio.,"[""2:2"", ""4:0"", ""0:4"", ""3:1"", ""1:3""]",5,0,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4724354102323768
train_08454,train,images/train/train_08454.png,What is the expected ratio of offspring that have Marfan syndrome to offspring that do not have Marfan syndrome? Choose the most likely ratio.,"[""2:2"", ""4:0"", ""0:4"", ""1:3"", ""3:1""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4724354102323768
train_03216,train,images/train/train_03216.png,"Based on the text, which of the following things made the passenger pigeon migration a special event?","[""The migration caused warmer weather and forest growth."", ""Only people in Florida and Texas could see the migration."", ""The migration only happened every one hundred years."", ""The sun was blocked out by huge flocks of birds.""]",4,3,language science,grade5,reading-comprehension,Informational texts: level 1,Read passages about animals,hint_only,0.4724002910332124
train_01029,train,images/train/train_01029.png,What is the expected ratio of offspring with mostly plain scales to offspring with mostly iridescent scales? Choose the most likely ratio.,"[""4:0"", ""0:4"", ""2:2"", ""1:3"", ""3:1""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.47225062161476206
val_01885,val,images/val/val_01885.png,The Inca created a large civilization in South America. Which letter marks the territory of the Inca?,"[""D"", ""B"", ""A"", ""C""]",4,0,social science,grade7,world-history,Early Americas,Foundations of Inca civilization,hint_only,0.47087793138176465
val_01021,val,images/val/val_01021.png,What is the expected ratio of offspring that do not have Huntington's disease to offspring that have Huntington's disease? Choose the most likely ratio.,"[""2:2"", ""3:1"", ""4:0"", ""0:4"", ""1:3""]",5,0,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.47003156407895985
train_04688,train,images/train/train_04688.png,What is the expected ratio of offspring that have Huntington's disease to offspring that do not have Huntington's disease? Choose the most likely ratio.,"[""2:2"", ""1:3"", ""0:4"", ""4:0"", ""3:1""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.47003156407895985
val_03392,val,images/val/val_03392.png,What is the expected ratio of offspring with dark yellow flowers to offspring with light yellow flowers? Choose the most likely ratio.,"[""1:3"", ""2:2"", ""3:1"", ""0:4"", ""4:0""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.46575711512241513
train_05268,train,images/train/train_05268.png,What is the expected ratio of offspring with bright orange cheeks to offspring with pale orange cheeks? Choose the most likely ratio.,"[""4:0"", ""1:3"", ""2:2"", ""0:4"", ""3:1""]",5,4,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4641337384993284
train_01653,train,images/train/train_01653.png,What is the expected ratio of offspring with pale orange cheeks to offspring with bright orange cheeks? Choose the most likely ratio.,"[""2:2"", ""1:3"", ""0:4"", ""3:1"", ""4:0""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4641337384993284
train_12545,train,images/train/train_12545.png,Which of the following statements describess living in an independent city-state?,"[""My city rules itself and is not part of a larger country."", ""All the decisions about my city are made by a faraway emperor."", ""I live by myself in the wilderness."", ""I vote for a president that rules over many different cities.""]",4,0,social science,grade6,world-history,Greece,Classical Athens: geography and society,hint_only,0.4635674539946037
train_05578,train,images/train/train_05578.png,Which of the following statements describess living in an independent city-state?,"[""My city rules itself and is not part of a larger country."", ""All the decisions about my city are made by a faraway emperor."", ""I live by myself in the wilderness."", ""I vote for a president that rules over many different cities.""]",4,0,social science,grade6,world-history,Greece,Classical Athens: geography and society,hint_only,0.4635674539946037
train_11430,train,images/train/train_11430.png,Which of the following statements describess living in an independent city-state?,"[""I vote for a president that rules over many different cities."", ""My city rules itself and is not part of a larger country."", ""All the decisions about my city are made by a faraway emperor."", ""I live by myself in the wilderness.""]",4,1,social science,grade6,world-history,Greece,Classical Athens: geography and society,hint_only,0.4635674539946037
train_11719,train,images/train/train_11719.png,Which of the following statements describess living in an independent city-state?,"[""I live by myself in the wilderness."", ""I vote for a president that rules over many different cities."", ""All the decisions about my city are made by a faraway emperor."", ""My city rules itself and is not part of a larger country.""]",4,3,social science,grade6,world-history,Greece,Classical Athens: geography and society,hint_only,0.4635674539946037
train_01859,train,images/train/train_01859.png,Which of the following statements describess living in an independent city-state?,"[""I vote for a president that rules over many different cities."", ""All the decisions about my city are made by a faraway emperor."", ""My city rules itself and is not part of a larger country."", ""I live by myself in the wilderness.""]",4,2,social science,grade6,world-history,Greece,Classical Athens: geography and society,hint_only,0.4635674539946037
train_01610,train,images/train/train_01610.png,Which of the following statements describess living in an independent city-state?,"[""My city rules itself and is not part of a larger country."", ""I live by myself in the wilderness."", ""All the decisions about my city are made by a faraway emperor."", ""I vote for a president that rules over many different cities.""]",4,0,social science,grade6,world-history,Greece,Classical Athens: geography and society,hint_only,0.4635674539946037
train_11913,train,images/train/train_11913.png,Which of the following statements describess living in an independent city-state?,"[""All the decisions about my city are made by a faraway emperor."", ""I vote for a president that rules over many different cities."", ""I live by myself in the wilderness."", ""My city rules itself and is not part of a larger country.""]",4,3,social science,grade6,world-history,Greece,Classical Athens: geography and society,hint_only,0.4635674539946037
train_00887,train,images/train/train_00887.png,What is the expected ratio of offspring that have coat graying to offspring that do not have coat graying? Choose the most likely ratio.,"[""3:1"", ""0:4"", ""2:2"", ""4:0"", ""1:3""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4635068388053997
val_02001,val,images/val/val_02001.png,What is the expected ratio of offspring with blue body feathers to offspring with green body feathers? Choose the most likely ratio.,"[""4:0"", ""0:4"", ""3:1"", ""2:2"", ""1:3""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.46251036187624167
train_00277,train,images/train/train_00277.png,What is the expected ratio of offspring with green body feathers to offspring with blue body feathers? Choose the most likely ratio.,"[""2:2"", ""0:4"", ""1:3"", ""3:1"", ""4:0""]",5,0,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.46251036187624167
train_07522,train,images/train/train_07522.png,What is the probability that a budgerigar parakeet produced by this cross will be heterozygous for the body feather color gene?,"[""0/4"", ""2/4"", ""3/4"", ""1/4"", ""4/4""]",5,0,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.4594514400478651
train_07947,train,images/train/train_07947.png,What is the probability that a budgerigar parakeet produced by this cross will be heterozygous for the body feather color gene?,"[""1/4"", ""0/4"", ""4/4"", ""3/4"", ""2/4""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.4594514400478651
train_05726,train,images/train/train_05726.png,What is the probability that a human produced by this cross will be homozygous recessive for the xeroderma pigmentosum gene?,"[""3/4"", ""2/4"", ""4/4"", ""0/4"", ""1/4""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.45851063819437315
train_08482,train,images/train/train_08482.png,"The United States has a federal system. Based on these definitions, which of these statements would most likely be made by a person who lives under a federal system?","[""Both my state and national government officials have power over important issues."", ""I only pay attention to state politics since the national government has almost no power."", ""My national government officials decide most issues that come up.""]",3,0,social science,grade6,civics,Government,State and local government,hint_only,0.4581253871373533
val_01782,val,images/val/val_01782.png,"The United States has a federal system. Based on these definitions, which of these statements would most likely be made by a person who lives under a federal system?","[""Both my state and national government officials have power over important issues."", ""My national government officials decide most issues that come up."", ""I only pay attention to state politics since the national government has almost no power.""]",3,0,social science,grade6,civics,Government,State and local government,hint_only,0.4581253871373533
train_03680,train,images/train/train_03680.png,"The United States has a federal system. Based on these definitions, which of these statements would most likely be made by a person who lives under a federal system?","[""My national government officials decide most issues that come up."", ""I only pay attention to state politics since the national government has almost no power."", ""Both my state and national government officials have power over important issues.""]",3,2,social science,grade6,civics,Government,State and local government,hint_only,0.4581253871373533
train_01496,train,images/train/train_01496.png,"The United States has a federal system. Based on these definitions, which of these statements would most likely be made by a person who lives under a federal system?","[""I only pay attention to state politics since the national government has almost no power."", ""My national government officials decide most issues that come up."", ""Both my state and national government officials have power over important issues.""]",3,2,social science,grade6,civics,Government,State and local government,hint_only,0.4581253871373533
train_00823,train,images/train/train_00823.png,"The United States has a federal system. Based on these definitions, which of these statements would most likely be made by a person who lives under a federal system?","[""My national government officials decide most issues that come up."", ""Both my state and national government officials have power over important issues."", ""I only pay attention to state politics since the national government has almost no power.""]",3,1,social science,grade6,civics,Government,State and local government,hint_only,0.4581253871373533
train_09687,train,images/train/train_09687.png,"The United States has a federal system. Based on these definitions, which of these statements would most likely be made by a person who lives under a federal system?","[""I only pay attention to state politics since the national government has almost no power."", ""Both my state and national government officials have power over important issues."", ""My national government officials decide most issues that come up.""]",3,1,social science,grade6,civics,Government,State and local government,hint_only,0.4581253871373533
train_10355,train,images/train/train_10355.png,What is the expected ratio of offspring that have agouti fur to offspring that do not have agouti fur? Choose the most likely ratio.,"[""3:1"", ""2:2"", ""1:3"", ""0:4"", ""4:0""]",5,4,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.45755445785408166
train_12244,train,images/train/train_12244.png,What is the expected ratio of offspring with terminal flowers to offspring with axial flowers? Choose the most likely ratio.,"[""3:1"", ""0:4"", ""1:3"", ""2:2"", ""4:0""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.45672492390897773
train_09343,train,images/train/train_09343.png,What is the probability that a Labrador retriever produced by this cross will be homozygous recessive for the fur color gene?,"[""1/4"", ""2/4"", ""0/4"", ""3/4"", ""4/4""]",5,2,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.4560500795042548
train_11045,train,images/train/train_11045.png,What is the expected ratio of offspring that have albinism to offspring that do not have albinism? Choose the most likely ratio.,"[""2:2"", ""1:3"", ""3:1"", ""0:4"", ""4:0""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4560168553838947
train_07404,train,images/train/train_07404.png,What is the probability that an ornamental gourd plant produced by this cross will be heterozygous for the fruit color gene?,"[""4/4"", ""0/4"", ""3/4"", ""2/4"", ""1/4""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.45434939923244966
train_05049,train,images/train/train_05049.png,What is the probability that a Labrador retriever produced by this cross will be homozygous dominant for the fur color gene?,"[""1/4"", ""0/4"", ""4/4"", ""2/4"", ""3/4""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.45434939923244966
train_08049,train,images/train/train_08049.png,What is the expected ratio of offspring with regular leaves to offspring with potato leaves? Choose the most likely ratio.,"[""0:4"", ""3:1"", ""1:3"", ""4:0"", ""2:2""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.45315349533818694
train_02788,train,images/train/train_02788.png,What is the expected ratio of offspring with normal wings to offspring with vestigial wings? Choose the most likely ratio.,"[""3:1"", ""0:4"", ""2:2"", ""4:0"", ""1:3""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.45315349533818694
train_08817,train,images/train/train_08817.png,What is the expected ratio of offspring with a spotted tail to offspring with an unspotted tail? Choose the most likely ratio.,"[""3:1"", ""1:3"", ""0:4"", ""2:2"", ""4:0""]",5,4,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4527701021377213
train_01174,train,images/train/train_01174.png,What is the expected ratio of offspring with a spotted tail to offspring with an unspotted tail? Choose the most likely ratio.,"[""0:4"", ""3:1"", ""4:0"", ""2:2"", ""1:3""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4527701021377213
train_08809,train,images/train/train_08809.png,What is the expected ratio of offspring with an unspotted tail to offspring with a spotted tail? Choose the most likely ratio.,"[""4:0"", ""0:4"", ""1:3"", ""3:1"", ""2:2""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4527701021377213
train_07464,train,images/train/train_07464.png,What is the probability that a watermelon plant produced by this cross will be heterozygous for the ground spot color gene?,"[""1/4"", ""3/4"", ""0/4"", ""2/4"", ""4/4""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.4526487189606445
val_01237,val,images/val/val_01237.png,What is the probability that a Cepaea snail produced by this cross will be homozygous recessive for the shell banding gene?,"[""2/4"", ""4/4"", ""0/4"", ""3/4"", ""1/4""]",5,0,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.4526487189606445
val_03458,val,images/val/val_03458.png,What is the probability that a Cepaea snail produced by this cross will be homozygous recessive for the shell banding gene?,"[""2/4"", ""0/4"", ""3/4"", ""1/4"", ""4/4""]",5,4,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.4526487189606445
train_03672,train,images/train/train_03672.png,What is the probability that a Cepaea snail produced by this cross will be homozygous recessive for the shell banding gene?,"[""4/4"", ""0/4"", ""1/4"", ""3/4"", ""2/4""]",5,1,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.4526487189606445
val_01320,val,images/val/val_01320.png,What is the expected ratio of offspring with climbing growth to offspring with bush growth? Choose the most likely ratio.,"[""4:0"", ""0:4"", ""2:2"", ""3:1"", ""1:3""]",5,2,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4513677810527915
train_08499,train,images/train/train_08499.png,What is the expected ratio of offspring with mirror scales to offspring with normal scales? Choose the most likely ratio.,"[""2:2"", ""1:3"", ""3:1"", ""4:0"", ""0:4""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4513677810527915
train_06685,train,images/train/train_06685.png,What is the expected ratio of offspring with bush growth to offspring with climbing growth? Choose the most likely ratio.,"[""2:2"", ""0:4"", ""4:0"", ""3:1"", ""1:3""]",5,0,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4513677810527915
val_01128,val,images/val/val_01128.png,What is the probability that a cucumber plant produced by this cross will be homozygous dominant for the fruit sheen gene?,"[""2/4"", ""3/4"", ""0/4"", ""1/4"", ""4/4""]",5,3,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate probabilities of offspring types,hint_and_lecture,0.45094803868883937
train_03203,train,images/train/train_03203.png,How many years passed between the founding of Jamestown and the founding of Plymouth Colony?,"[""5 years"", ""24 years"", ""3 years"", ""13 years""]",4,3,social science,grade5,us-history,English colonies in North America,Plymouth,hint_only,0.4509004880711688
train_08301,train,images/train/train_08301.png,An international organization is made up of members from () who ().,"[""different countries . . . declare war on other countries"", ""different countries . . . work together for a shared purpose"", ""the same country . . . work together for a shared purpose"", ""the same country . . . declare war on other countries""]",4,1,social science,grade6,global-studies,Government,International organizations,hint_only,0.45054204613635107
val_02022,val,images/val/val_02022.png,"Based on clues in the text, how did fossil evidence help scientists explain the huge number of beetle species?","[""It helped scientists learn that beetle species only appeared after Earth's most recent ice age."", ""It helped scientists figure out which ancient animal species were most likely to eat beetles."", ""It let scientists compare ancient beetles' wing structure to modern beetles' wing structure."", ""It let scientists compare the number of extinct beetles to the number of other extinct species.""]",4,3,language science,grade5,reading-comprehension,Informational texts: level 1,Read passages about animals,hint_and_lecture,0.44996943291234465
val_00085,val,images/val/val_00085.png,What is the expected ratio of offspring with fuzzy leaves to offspring with smooth leaves? Choose the most likely ratio.,"[""0:4"", ""1:3"", ""4:0"", ""3:1"", ""2:2""]",5,4,natural science,grade8,biology,Genes to traits,Use Punnett squares to calculate ratios of offspring types,hint_and_lecture,0.4495820667673961
